start,hr,temp,day,ID,label,date,shift_code,start_datetime,end_datetime
2025-03-03 21:10:00+01:00,82.0,36.921,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 21:20:00+01:00,96.0,36.939,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 21:30:00+01:00,90.0,37.005,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 21:40:00+01:00,81.0,37.042,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 21:50:00+01:00,87.0,37.01,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 22:00:00+01:00,90.0,36.993,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 22:10:00+01:00,53.0,36.978,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 22:20:00+01:00,65.0,36.965,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-06 07:00:00+01:00,90.0,37.184,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 07:10:00+01:00,96.0,37.177,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 07:20:00+01:00,97.0,37.137,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 07:30:00+01:00,103.0,37.161,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 07:40:00+01:00,100.0,37.156,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 07:50:00+01:00,97.0,37.188,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 08:00:00+01:00,99.0,37.201,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 08:10:00+01:00,98.0,37.14,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 08:20:00+01:00,109.0,37.112,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 08:30:00+01:00,98.0,37.071,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 08:40:00+01:00,91.0,37.049,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 08:50:00+01:00,98.0,37.038,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 09:00:00+01:00,98.0,37.043,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 09:10:00+01:00,69.0,37.079,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 09:20:00+01:00,48.0,37.056,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 09:30:00+01:00,97.0,37.013,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 09:40:00+01:00,86.0,37.061,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 09:50:00+01:00,104.0,37.084,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 10:10:00+01:00,87.0,37.048,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 10:20:00+01:00,93.0,37.036,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 10:30:00+01:00,73.0,37.033,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 10:40:00+01:00,95.0,36.984,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 10:50:00+01:00,78.0,37.0095,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 11:00:00+01:00,83.0,37.011,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 11:10:00+01:00,83.0,36.847,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 11:20:00+01:00,93.0,36.916,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 11:30:00+01:00,76.0,36.958,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 11:40:00+01:00,106.0,37.0,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
2025-03-06 11:50:00+01:00,54.0,37.021,2025-03-06,103019.0,1.0,2025-03-06,1,2025-03-06 07:00:00+01:00,2025-03-06 16:00:00+01:00
